WD23CD,WD23NM,WD23NMW,UK_IMD_E_score,original_decile,E_expanded_decile,UK_IMD_E_rank,UK_IMD_E_pop_decile,UK_IMD_E_pop_quintile,total_Population
E05012886,Tattenham Corner & Preston, ,5.29,3,3,9592.5,3,2,10762.0
E05012887,Addlestone North, ,7.543,4,4,13271.0,4,2,6754.0
E05012888,Addlestone South, ,7.543,4,4,15812.0,4,2,6420.0
E05012889,Chertsey Riverside, ,8.014,3,3,12756.5,4,2,6071.0
E05012890,Chertsey St Ann's, ,8.014,3,3,12756.5,4,2,6836.0
E05012891,Egham Hythe, ,6.762,4,4,17128.0,5,3,7167.0
E05012892,Egham Town, ,5.908,4,4,17128.0,5,3,7379.0
E05012893,Englefield Green East, ,3.196,7,7,28470.0,7,4,5341.0
E05012894,Englefield Green West, ,5.908,3,3,10543.0,3,2,6765.0
E05012895,"Longcross, Lyne & Chertsey South", ,7.502,5,5,19359.0,5,3,4040.0
E05012896,New Haw, ,5.218,6,6,22970.0,6,3,7194.0
E05012897,Ottershaw, ,4.005,6,6,23668.5,6,3,6627.0
E05012898,Thorpe, ,7.215,5,5,20482.0,5,3,5985.0
E05012899,Virginia Water, ,3.076,8,8,32309.0,8,4,5909.0
E05012900,Woodham & Rowtown, ,4.025,7,7,27232.5,7,4,6036.0
E05012901,Bowthorpe, ,17.323,1,1,3392.0,1,1,10256.0
E05012902,Catton Grove, ,12.204,1,1,3191.5,1,1,10914.0
E05012903,Crome, ,22.723,1,1,1929.0,1,1,11993.0
E05012904,Eaton, ,3.028,4,4,16871.0,5,3,10238.0
E05012905,Lakenham, ,13.487,1,1,4129.0,1,1,10658.0
E05012906,Mancroft, ,13.487,1,1,1780.0,1,1,10924.0
E05012907,Mile Cross, ,21.912,1,1,1986.0,1,1,11180.0
E05012908,Nelson, ,4.83,1,1,3480.0,1,1,10451.0
E05012909,Sewell, ,16.102,2,2,5607.0,2,1,10226.0
E05012910,Thorpe Hamlet, ,9.816,1,1,3080.0,1,1,9989.0
E05012911,Town Close, ,5.987,1,1,2913.0,1,1,10208.0
E05012912,University, ,5.804,1,1,3392.0,1,1,14869.0
E05012913,Wensum, ,17.359,1,1,1780.0,1,1,12619.0
E05012914,Bewbush & North Broadfield, ,14.028,2,2,8747.5,3,2,10928.0
E05012915,Broadfield, ,17.098,1,1,4497.5,2,1,10019.0
E05012916,Furnace Green, ,8.125,3,3,11445.5,3,2,5919.0
E05012917,Gossops Green & North East Broadfield, ,12.95,2,2,8747.5,3,2,6422.0
E05012918,Ifield, ,14.886,4,4,13462.0,4,2,10579.0
E05012919,Langley Green & Tushmore, ,17.163,4,4,13140.0,4,2,9363.0
E05012920,Maidenbower, ,3.751,6,6,21871.0,6,3,9268.0
E05012921,Northgate & West Green, ,18.904,3,3,9647.5,3,2,11858.0
E05012922,Pound Hill North & Forge Wood, ,7.753,6,6,22862.5,6,3,9975.0
E05012923,Pound Hill South & Worth, ,5.903,4,4,16914.0,5,3,8353.0
E05012924,Southgate, ,10.485,3,3,11602.5,3,2,10376.0
E05012925,Three Bridges, ,10.989,4,4,16315.5,4,2,10010.0
E05012926,Tilgate, ,17.533,4,4,16391.0,4,2,6439.0
E05012927,Ampfield & Braishfield, ,4.669,6,6,24529.5,6,3,2433.0
E05012928,Andover Harroway, ,5.796,2,2,7818.0,2,1,10114.0
E05012929,Andover Millway, ,2.989,4,4,16217.0,4,2,9289.0
E05012930,Andover St Mary's, ,11.535,3,3,11458.5,3,2,8244.0
E05012931,Andover Winton, ,3.725,5,5,20001.0,5,3,6536.0
E05012932,Anna, ,4.782,7,7,26312.0,7,4,6675.0
E05012933,Bellinger, ,8.28,6,6,25770.0,7,4,3380.0
E05012934,Bourne Valley, ,13.102,6,6,21782.5,6,3,3139.0
E05012935,Charlton & the Pentons, ,4.48,6,6,25770.0,7,4,3359.0
E05012936,"Chilworth, Nursling & Rownhams", ,4.048,6,6,24529.5,6,3,8562.0
E05012937,North Baddesley, ,2.319,5,5,17419.5,5,3,7346.0
E05012938,Romsey Cupernham, ,2.449,6,6,24529.5,6,3,9283.0
E05012939,Valley Park, ,2.319,10,10,38691.0,10,5,6152.0
E05012953,Little Stour & Adisham, ,7.609,4,4,14242.5,4,2,4297.0
E05012954,Nailbourne, ,7.609,4,4,14242.5,4,2,3942.0
E05012955,Reculver, ,13.564,4,4,14615.0,4,2,4328.0
E05012956,Sturry, ,7.887,4,4,14211.0,4,2,8269.0
E05012957,Credenhill, ,12.567,7,7,26801.5,7,4,3680.0
E05012958,Queenswood, ,11.348,4,4,15321.0,4,2,3324.0
E05012959,Stoney Street, ,13.522,5,5,18962.0,5,3,3507.0
E05012960,Sutton Walls, ,11.941,7,7,26816.0,7,4,3415.0
E05012961,Gosfield & Greenstead Green, ,10.253,6,6,23008.0,6,3,2830.0
E05012962,Halstead St Andrew's, ,6.219,5,5,20349.0,5,3,6712.0
E05012963,Halstead Trinity, ,6.219,2,2,8368.0,2,1,7223.0
E05012964,Hatfield Peverel & Terling, ,6.089,6,6,24167.0,6,3,6121.0
E05012965,Silver End & Cressing, ,12.324,5,5,18955.0,5,3,7324.0
E05012966,Witham Central, ,9.042,4,4,15671.0,4,2,7034.0
E05012967,Witham North, ,12.777,3,3,10394.0,3,2,7410.0
E05012968,Bicester South and Ambrosden, ,2.968,3,3,12277.0,3,2,15019.0
E05012969,Fringford and Heyfords, ,10.542,5,5,20829.0,6,3,9601.0
E05012970,Abingdon Dunmore, ,1.661,8,8,32225.0,8,4,6124.0
E05012971,Abingdon Peachcroft, ,4.017,8,8,31975.5,8,4,6529.0
E05012973,Faringdon, ,4.813,5,5,21394.0,6,3,8748.0
E05012974,Grove North, ,4.235,7,7,26395.5,7,4,6937.0
E05012975,Hendreds, ,7.793,7,7,27741.0,7,4,3446.0
E05012977,Marcham, ,4.195,7,7,27712.5,7,4,4147.0
E05012978,Wantage & Grove Brook, ,2.713,7,7,26395.5,7,4,7834.0
E05012979,Wantage Charlton, ,2.713,6,6,25650.5,7,4,7574.0
E05012980,Watchfield & Shrivenham, ,1.765,7,7,27215.0,7,4,8326.0
E05012990,Barton, ,3.133,1,1,4392.0,2,1,12963.0
E05012991,Chartham & Stone Street, ,7.687,5,5,19892.5,5,3,7702.0
E05012992,Kingston Bagpuize, ,3.812,8,8,31036.0,8,4,5227.0
E05012993,Anston & Woodsetts, ,8.711,1,1,1934.0,1,1,11959.0
E05012994,Aston & Todwick, ,7.244,3,3,10209.0,3,2,9506.0
E05012995,Aughton & Swallownest, ,7.629,1,1,1352.0,1,1,8376.0
E05012996,Boston Castle, ,9.629,1,1,460.0,1,1,15768.0
E05012997,Bramley & Ravenfield, ,10.349,3,3,9563.5,3,2,8383.0
E05012998,Brinsworth, ,10.174,3,3,11016.5,3,2,9541.0
E05012999,Dalton & Thrybergh, ,16.493,1,1,575.0,1,1,9359.0
E05013000,Dinnington, ,9.303,1,1,1410.5,1,1,12471.0
E05013001,Greasbrough, ,24.556,1,1,1314.5,1,1,7816.0
E05013002,Hellaby & Maltby West, ,11.259,1,1,4154.0,1,1,7909.0
E05013003,Hoober, ,17.157,2,2,5562.0,2,1,13009.0
E05013004,Keppel, ,6.948,1,1,2402.0,1,1,13669.0
E05013005,Kilnhurst & Swinton East, ,13.435,1,1,3121.5,1,1,7883.0
E05013006,Maltby East, ,21.729,1,1,895.0,1,1,9541.0
E05013007,Rawmarsh East, ,17.47,1,1,575.0,1,1,9610.0
E05013008,Rawmarsh West, ,12.382,1,1,1363.5,1,1,9416.0
E05013009,Rother Vale, ,12.562,2,2,5521.0,2,1,9174.0
E05013010,Rotherham East, ,6.985,1,1,460.0,1,1,16927.0
E05013011,Rotherham West, ,12.787,1,1,1038.0,1,1,14734.0
E05013012,Sitwell, ,6.985,1,1,3917.0,1,1,12676.0
E05013013,Swinton Rockingham, ,11.718,2,2,4692.0,2,1,8344.0
E05013014,Thurcroft & Wickersley South, ,6.305,1,1,2100.0,1,1,10312.0
E05013015,Wales, ,8.264,3,3,12357.0,3,2,9589.0
E05013016,Wath, ,22.345,1,1,3853.0,1,1,9470.0
E05013017,Wickersley North, ,8.357,1,1,3210.0,1,1,12912.0
E05013018,Barton & Winton, ,21.701,1,1,413.0,1,1,16140.0
E05013019,Blackfriars & Trinity, ,14.659,1,1,1419.0,1,1,12322.0
E05013020,Boothstown & Ellenbrook, ,4.71,5,5,20184.0,5,3,12593.0
E05013021,Broughton, ,21.187,1,1,416.0,1,1,17625.0
E05013022,Cadishead & Lower Irlam, ,8.451,2,2,5980.5,2,1,12241.0
E05013023,Claremont, ,15.105,1,1,499.0,1,1,13290.0
E05013024,Eccles, ,8.446,1,1,1137.0,1,1,14706.0
E05013025,Higher Irlam & Peel Green, ,9.589,1,1,1463.0,1,1,13972.0
E05013026,Kersal & Broughton Park, ,16.729,1,1,906.0,1,1,16424.0
E05013027,Little Hulton, ,28.833,1,1,394.0,1,1,14762.0
E05013028,Ordsall, ,14.659,1,1,1616.0,1,1,11600.0
E05013029,Pendlebury & Clifton, ,11.769,1,1,2207.0,1,1,13756.0
E05013030,Pendleton & Charlestown, ,26.057,1,1,236.0,1,1,18067.0
E05013031,Quays, ,5.078,1,1,2990.0,1,1,10429.0
E05013032,Swinton & Wardley, ,13.413,1,1,2101.0,1,1,12722.0
E05013033,Swinton Park, ,8.458,1,1,2101.0,1,1,12977.0
E05013034,Walkden North, ,25.573,1,1,1265.0,1,1,13878.0
E05013035,Walkden South, ,5.099,2,2,4716.0,2,1,11867.0
E05013036,Weaste & Seedley, ,31.39,1,1,360.0,1,1,16735.0
E05013037,Worsley & Westwood Park, ,5.569,1,1,2208.0,1,1,11958.0
E05013038,Burn Valley, ,9.045,1,1,406.0,1,1,7776.0
E05013039,De Bruce, ,8.596,1,1,943.0,1,1,8447.0
E05013040,Fens & Greatham, ,9.43,1,1,2102.0,1,1,6402.0
E05013041,Foggy Furze, ,14.791,1,1,888.0,1,1,8225.0
E05013042,Hart, ,7.421,4,4,15195.5,4,2,7656.0
E05013043,Headland & Harbour, ,28.766,1,1,260.0,1,1,7920.0
E05013044,Manor House, ,6.48,1,1,385.0,1,1,8851.0
E05013045,Rossmere, ,9.43,1,1,385.0,1,1,7708.0
E05013046,Rural West, ,5.121,7,7,28932.0,7,4,7759.0
E05013047,Seaton, ,9.43,1,1,739.0,1,1,7184.0
E05013048,Throston, ,5.121,1,1,1347.0,1,1,8310.0
E05013049,Victoria, ,9.045,1,1,329.0,1,1,7623.0
E05013050,Abbey, ,9.498,2,2,5739.5,2,1,10598.0
E05013051,Arbury, ,4.534,3,3,10225.5,3,2,9802.0
E05013052,Castle, ,4.534,5,5,18883.5,5,3,8724.0
E05013053,Cherry Hinton, ,3.461,5,5,19155.0,5,3,9273.0
E05013054,Coleridge, ,3.547,5,5,18441.5,5,3,10446.0
E05013055,East Chesterton, ,10.658,3,3,12422.5,3,2,9819.0
E05013056,King's Hedges, ,7.099,2,2,8149.0,2,1,10805.0
E05013057,Market, ,8.786,5,5,20205.0,5,3,10697.0
E05013058,Newnham, ,5.308,8,8,31289.0,8,4,11431.0
E05013059,Petersfield, ,7.158,5,5,17455.0,5,3,11134.0
E05013060,Queen Edith's, ,2.371,6,6,25661.5,7,4,12293.0
E05013061,Romsey, ,6.658,5,5,18556.5,5,3,10204.0
E05013062,Trumpington, ,10.806,5,5,20205.0,5,3,12606.0
E05013063,West Chesterton, ,5.576,4,4,15929.0,4,2,9163.0
E05013064,Adlington & Anderton, ,5.347,5,5,19568.0,5,3,7924.0
E05013065,Buckshaw & Whittle, ,3.208,6,6,24821.5,6,3,10351.0
E05013066,Chorley East, ,21.457,1,1,4343.0,2,1,8440.0
E05013067,Chorley North East, ,5.347,7,7,27770.5,7,4,7091.0
E05013068,Chorley North West, ,7.394,2,2,6038.0,2,1,7830.0
E05013069,Chorley North & Astley, ,7.694,1,1,3967.0,1,1,7873.0
E05013070,Chorley South East & Heath Charnock, ,9.196,2,2,5537.0,2,1,9367.0
E05013071,Chorley South West, ,7.394,2,2,5537.0,2,1,8566.0
E05013072,"Clayton East, Brindle & Hoghton", ,6.134,1,1,3440.0,1,1,9066.0
E05013073,Clayton West & Cuerden, ,6.134,5,5,18132.5,5,3,9012.0
E05013074,Coppull, ,10.433,2,2,8323.0,2,1,8271.0
E05013075,"Croston, Mawdesley & Euxton South", ,2.525,4,4,13649.0,4,2,9657.0
E05013076,"Eccleston, Heskin & Charnock Richard", ,4.075,7,7,29159.0,7,4,7258.0
E05013077,Euxton, ,2.525,4,4,16996.0,5,3,7918.0
E05013078,Basing & Upton Grey, ,2.735,6,6,22581.0,6,3,10078.0
E05013079,Bramley, ,7.683,7,7,25998.5,7,4,9543.0
E05013080,Brighton Hill, ,5.755,4,4,13157.5,4,2,10655.0
E05013081,Brookvale & Kings Furlong, ,6.839,3,3,8965.0,3,2,10936.0
